id,name,type,alias,desc,date,role,tags
"ent-morpheus","Morpheus","person","","Chef de la résistance et mentor de Neo.","","ally","resistance,mentor"
"ent-smith","Agent Smith","person","","Programme autonome cherchant à détruire l’équilibre.","","adversary","agent,virus,controle"
"ent-matrix","La Matrice","system","","Simulation contrôlant l’humanité.","","","simulation,controle,ia"
"ent-zion","Zion","place","","Dernière cité humaine libre.","","","resistance,humanite"
"ent-pill","Pilule Rouge","object","","Révèle la vérité sur la Matrice.","","","reveil,choix"
"frodo","Frodon Sacquet","person","Frodo Baggins, Porteur de l'Anneau, M. Soucolline","Hobbit de la Comté, neveu et héritier de Bilbon. Porteur de l'Anneau Unique, il entreprend la quête pour le détruire dans les flammes de la Montagne du Destin. Personnage central de la trilogie.","2968-09-22","ally","hobbit,porteur,communauté,héros"
"sam","Samsagace Gamegie","person","Sam Gamgee, Maître Samsagace","Jardinier de Frodon et son plus fidèle compagnon. Incarne la loyauté et le courage ordinaire. Porte brièvement l'Anneau. Devient maire de la Comté.","2980-04-06","ally","hobbit,communauté,jardinier,héros"
"gandalf","Gandalf","person","Mithrandir, Gandalf le Gris, Gandalf le Blanc, Olórin, Tharkûn","Istari (magicien) envoyé par les Valar. Guide de la Communauté. Meurt face au Balrog à Moria et revient comme Gandalf le Blanc. Porteur de Narya, l'anneau de feu.","","ally","istari,maiar,communauté,magicien"
"aragorn","Aragorn II","person","Grand-Pas, Elessar, Estel, Thorongil, Roi du Gondor","Héritier d'Isildur, 16e chef des Dúnedain du Nord. Rôdeur devenu roi du Gondor et de l'Arnor réunifiés. Épouse Arwen après la guerre.","2931-03-01","ally","dúnedain,communauté,roi,rôdeur"
"legolas","Legolas Vertefeuille","person","Legolas Greenleaf","Prince elfe de la Forêt Noire, fils du roi Thranduil. Archer d'exception. Membre de la Communauté. Développe une amitié improbable avec Gimli le nain.","","ally","elfe,communauté,archer,prince"
"gimli","Gimli","person","Ami des Elfes, Seigneur des Cavernes Étincelantes","Nain des Montagnes Bleues, fils de Gloïn. Guerrier à la hache. Sa rivalité avec Legolas se transforme en amitié légendaire. Reçoit trois cheveux de Galadriel.","2879","ally","nain,communauté,guerrier"
"boromir","Boromir","person","Fils de Denethor","Fils aîné de Denethor II, Intendant du Gondor. Capitaine de la Tour Blanche. Tenté par l'Anneau, il se rachète en défendant Merry et Pippin jusqu'à la mort.","2978","ally","gondor,communauté,capitaine"
"merry","Meriadoc Brandebouc","person","Merry, Holdwine du Rohan","Hobbit cousin de Frodon. Membre de la Communauté. Écuyer du roi Théoden. Aide Éowyn à vaincre le Roi-Sorcier d'Angmar avec une lame de l'Ouistrenesse.","2982","ally","hobbit,communauté,écuyer"
"pippin","Peregrïn Touque","person","Pippin, Garde de la Citadelle","Plus jeune membre de la Communauté. Regarder dans le Palantír déclenche des événements cruciaux. Devient Garde de la Citadelle du Gondor.","2990","ally","hobbit,communauté,garde"
"sauron","Sauron","person","Le Seigneur Ténébreux, Annatar, Gorthaur, L'Œil, Le Nécromancien","Maiar corrompu par Morgoth. Forgea l'Anneau Unique pour contrôler tous les autres anneaux de pouvoir. Son esprit est lié à l'Anneau.","","adversary","maiar,antagoniste,mordor"
"saruman","Saroumane","person","Saruman le Blanc, Sharkey, Saroumane le Multicolore","Chef du Conseil des Istari. Corrompu par son usage du Palantír et sa soif de pouvoir. Crée les Uruk-hai. Détruit par Sauron puis par Gríma.","","adversary","istari,traître,isengard"
"gollum","Gollum","person","Sméagol, Trahald","Anciennement un hobbit des Forts, corrompu par l'Anneau pendant 500 ans. Guide Frodon et Sam vers le Mordor. Sa chute dans le feu détruit finalement l'Anneau.","2430","undecided","hobbit,porteur,guide"
"elrond","Elrond Semi-elfe","person","Maître de Fondcombe","Seigneur de Fondcombe, père d'Arwen. Porteur de Vilya, l'anneau d'air. Convoque le Conseil qui décide du sort de l'Anneau. A combattu lors de la Dernière Alliance.","","ally","elfe,semi-elfe,seigneur"
"galadriel","Galadriel","person","Dame de Lórien, Dame de Lumière","Dame de la Lothlórien avec Celeborn. Porteuse de Nenya, l'anneau d'eau. L'une des plus puissantes elfes de la Terre du Milieu. Résiste à la tentation de l'Anneau.","","ally","elfe,noldor,dame"
"arwen","Arwen Undómiel","person","Étoile du Soir","Fille d'Elrond, renonce à l'immortalité pour épouser Aragorn. Symbole de l'amour entre elfes et hommes.","241-TA","ally","elfe,semi-elfe,princesse"
"theoden","Théoden","person","Roi de Rohan, Théoden Ednew","17e roi du Rohan. Libéré de l'influence de Saroumane par Gandalf. Mène la charge héroïque sur les champs du Pelennor où il trouve la mort.","2948","ally","rohan,roi,rohirrim"
"eowyn","Éowyn","person","Dame Blanche de Rohan, Dernhelm","Nièce de Théoden, sœur d'Éomer. Déguisée en homme, elle tue le Roi-Sorcier d'Angmar avec l'aide de Merry. Épouse Faramir.","2995","ally","rohan,dame,guerrière"
"faramir","Faramir","person","Capitaine de l'Ithilien, Prince de l'Ithilien","Second fils de Denethor, frère de Boromir. Capitaine des Rôdeurs d'Ithilien. Résiste à la tentation de l'Anneau. Épouse Éowyn.","2983","ally","gondor,capitaine,rôdeur"
"denethor","Denethor II","person","Intendant du Gondor","26e Intendant Régnant du Gondor. Père de Boromir et Faramir. Consumé par le désespoir via le Palantír, se suicide sur un bûcher.","2930","undecided","gondor,intendant"
"bilbo","Bilbon Sacquet","person","Bilbo Baggins, Le Cambrioleur","Oncle de Frodon. Trouva l'Anneau dans la caverne de Gollum. Auteur du Livre Rouge. Part pour Fondcombe puis les Havres Gris.","2890-09-22","ally","hobbit,porteur,aventurier"
"witchking","Roi-Sorcier d'Angmar","person","Seigneur des Nazgûl, Capitaine Noir","Chef des Neuf Nazgûl. Ancien roi humain corrompu par un anneau de pouvoir. Tué par Éowyn et Merry lors de la bataille des Champs du Pelennor.","","adversary","nazgûl,antagoniste,spectre"
"treebeard","Sylvebarbe","person","Fangorn, Treebeard","Le plus ancien des Ents, gardiens de la forêt de Fangorn. Mène l'attaque des Ents contre Isengard.","","ally","ent,gardien,ancien"
"grima","Gríma Langue-de-Serpent","person","Wormtongue","Conseiller de Théoden, espion de Saroumane. Empoisonne l'esprit du roi. Finit par tuer Saroumane et est lui-même abattu.","","adversary","rohan,traître,espion"
"eomer","Éomer","person","Roi Éomer, 3e Maréchal","Neveu de Théoden, frère d'Éowyn. Devient 18e roi du Rohan après la mort de son oncle.","2991","ally","rohan,roi,maréchal"
"celeborn","Celeborn","person","Seigneur de Lórien","Époux de Galadriel, co-seigneur de la Lothlórien. Elfe Sindar d'origine.","","ally","elfe,sindar,seigneur"
"haldir","Haldir","person","Gardien de la Lórien","Capitaine des gardes de la Lothlórien. Guide la Communauté à travers les bois.","","ally","elfe,gardien,capitaine"
"thranduil","Thranduil","person","Roi de la Forêt Noire","Roi des Elfes Sylvains de la Forêt Noire, père de Legolas.","","ally","elfe,roi,sindar"
"glorfindel","Glorfindel","person","Seigneur elfe","Puissant seigneur elfe de Fondcombe. Sauve Frodon des Nazgûl au Gué de Bruinen.","","ally","elfe,noldor,seigneur"
"tom","Tom Bombadil","person","Iarwain Ben-adar, L'Aîné","Être mystérieux vivant dans la Vieille Forêt. L'Anneau n'a aucun pouvoir sur lui. Sa nature exacte reste inconnue.","","ally","mystère,ancien,forêt"
"radagast","Radagast le Brun","person","Aiwendil","Istari ami des animaux et de la nature. Envoyé par Yavanna.","","ally","istari,maiar,nature"
"shelob","Arachne","person","Shelob, Elle","Araignée géante descendante d'Ungoliant. Vit dans les tunnels de Cirith Ungol. Empoisonne Frodon mais est blessée par Sam.","","adversary","araignée,antagoniste,mordor"
"gothmog","Gothmog","person","Lieutenant de Morgul","Lieutenant de Minas Morgul, commande les forces de Sauron lors du siège de Minas Tirith.","","adversary","antagoniste,mordor,orc"
"shagrat","Shagrat","person","Capitaine de la Tour","Capitaine Uruk de la Tour de Cirith Ungol. Se bat contre Gorbag pour le mithril de Frodon.","","adversary","uruk,mordor,capitaine"
"lurtz","Lurtz","person","Chef Uruk-hai","Premier-né des Uruk-hai de Saroumane. Tue Boromir à Amon Hen. Tué par Aragorn.","","adversary","uruk-hai,isengard,capitaine"
"mouth","Bouche de Sauron","person","Lieutenant de Barad-dûr, Messager","Homme noir de Númenor, lieutenant de la Tour Sombre. Négocie à la Porte Noire.","","adversary","homme,mordor,lieutenant"
"isildur","Isildur","person","Roi du Gondor et de l'Arnor","Fils d'Elendil. Coupa l'Anneau de la main de Sauron mais refusa de le détruire. Tué par les Orques, l'Anneau fut perdu dans l'Anduin.","","ally","dúnedain,roi,histoire"
"elendil","Elendil","person","Le Grand","Fondateur des royaumes de Gondor et d'Arnor. Tué par Sauron lors de la Dernière Alliance.","","ally","dúnedain,roi,histoire"
"shire","La Comté","place","The Shire, Pays des Hobbits","Région paisible habitée par les Hobbits. Divisée en quatre Quartiers. Protégée secrètement par les Rôdeurs.","1601-TA","","hobbit,région,paix"
"hobbiton","Hobbitebourg","place","Hobbiton","Village de la Comté où se trouve Cul-de-Sac, demeure de Bilbon et Frodon.","","","hobbit,village,comté"
"bagend","Cul-de-Sac","place","Bag End","Trou de hobbit luxueux creusé dans la Colline de Hobbitebourg. Demeure des Sacquet.","","","hobbit,demeure,comté"
"rivendell","Fondcombe","place","Rivendell, Imladris","Refuge elfique caché dans une vallée. Demeure d'Elrond. Lieu du Conseil qui forme la Communauté de l'Anneau.","1697-SA","","elfe,refuge,vallée"
"moria","Moria","place","Khazad-dûm, Mines de la Moria, Cavenain","Ancien royaume nain sous les Monts Brumeux. Abandonné après l'éveil du Balrog. La Communauté y perd Gandalf.","","","nain,mines,danger"
"lothlorien","Lothlórien","place","Lórien, Bois Doré","Forêt elfique gouvernée par Galadriel et Celeborn. Sanctuaire protégé par le pouvoir de Nenya.","","","elfe,forêt,refuge"
"rohan","Rohan","place","Riddermark, Pays des Seigneurs des Chevaux","Royaume des Rohirrim, peuple cavalier. Allié du Gondor par serment. Capitale: Edoras.","2510-TA","","rohirrim,royaume,chevaux"
"edoras","Edoras","place","Capitale du Rohan","Cité royale du Rohan, siège de Meduseld, le palais doré.","","","rohan,capitale,citadelle"
"helmsdeep","Gouffre de Helm","place","Helm's Deep, Fort le Cor","Forteresse du Rohan dans les Montagnes Blanches. Théâtre d'une bataille décisive contre les Uruk-hai.","","","rohan,forteresse,bataille"
"gondor","Gondor","place","Royaume du Sud","Royaume des Dúnedain du Sud, fondé par Elendil et ses fils. Gouverné par des Intendants en l'absence du roi.","3320-SA","","dúnedain,royaume,hommes"
"minastirith","Minas Tirith","place","Cité des Rois, Tour de Garde, Mundburg","Capitale du Gondor. Cité à sept niveaux construite sur un éperon rocheux. Théâtre de la bataille des Champs du Pelennor.","","","gondor,capitale,citadelle"
"osgiliath","Osgiliath","place","Citadelle des Étoiles","Ancienne capitale du Gondor sur l'Anduin. En ruines après les guerres contre le Mordor.","","","gondor,ruines,rivière"
"mordor","Mordor","place","Pays Noir, Terre de l'Ombre","Royaume de Sauron. Entouré de montagnes. Contient Barad-dûr et la Montagne du Destin.","","","sauron,ténèbres,royaume"
"barad-dur","Barad-dûr","place","Tour Sombre, Lugbúrz","Forteresse de Sauron en Mordor. Construite avec le pouvoir de l'Anneau, elle s'effondre à sa destruction.","","","mordor,forteresse,sauron"
"mountdoom","Montagne du Destin","place","Orodruin, Mont Doom, Amon Amarth","Volcan de Mordor où Sauron forgea l'Anneau. Seul endroit où l'Anneau peut être détruit.","","","mordor,volcan,anneau"
"isengard","Isengard","place","Angrenost","Forteresse à la limite sud des Monts Brumeux. Siège de Saroumane et de la tour d'Orthanc. Détruite par les Ents.","","","saroumane,forteresse,orthanc"
